16 / 0600,13.7,45.8,1013,25,low
17 / 0600,13.4,52,1008,25,tropical depression
18 / 0600,13,58.4,1004,40,II
19 / 0600,13.5,65.7,1005,35,II
20 I 0600,14.2,72.9,1007,30,II
21 / 0600,15.7,80.5,1008,25,II
22 I 0600,18.6,87.8,1009,25,II
23 / 0600,20.9,91.6,1008,25,II
24 I 0600,22.8,92.6,997,50,II, tropical storm
25 I 0600,25.6,95.1,966,90,II, hurricane
26 I 0600,28.2,97.1,948,105,II,
27 I 0600,29.3,97.6,998,40,II, tropical storm
28 I 0600,28.6,96.5,997,40,II
29 I 0600,28.1,95,996,40,II
30 I 0600,29.4,93.6,990,40,II
31 / 0600,31.9,92.2,999,25,II, tropical depression
01 / 0600,34.9,88.2,1002,30,extratropical
02 I 0600,37.9,84.9,1009,20,II
